Year,Track,Driver,Team,Compound,TyreLife,Stint,Secs,IsPit,LapNumber
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,4.0,1.0,97.284,False,1.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,5.0,1.0,96.296,False,2.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,6.0,1.0,96.753,False,3.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,7.0,1.0,96.647,False,4.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,8.0,1.0,97.173,False,5.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,9.0,1.0,97.092,False,6.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,10.0,1.0,97.038,False,7.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,11.0,1.0,97.024,False,8.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,12.0,1.0,97.229,False,9.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,13.0,1.0,96.96,False,10.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,14.0,1.0,97.085,False,11.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,15.0,1.0,97.045,False,12.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,16.0,1.0,97.03,False,13.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,17.0,1.0,97.028,False,14.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,18.0,1.0,97.011,False,15.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,19.0,1.0,97.168,False,16.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,20.0,1.0,99.896,True,17.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,1.0,2.0,117.854,False,18.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,2.0,2.0,95.283,False,19.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,3.0,2.0,95.16,False,20.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,4.0,2.0,95.316,False,21.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,5.0,2.0,95.204,False,22.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,6.0,2.0,95.216,False,23.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,7.0,2.0,95.289,False,24.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,8.0,2.0,95.342,False,25.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,9.0,2.0,95.223,False,26.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,10.0,2.0,95.581,False,27.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,11.0,2.0,95.477,False,28.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,12.0,2.0,95.793,False,29.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,13.0,2.0,95.771,False,30.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,14.0,2.0,95.679,False,31.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,15.0,2.0,95.886,False,32.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,16.0,2.0,95.863,False,33.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,17.0,2.0,96.133,False,34.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,18.0,2.0,96.018,False,35.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,19.0,2.0,96.205,False,36.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,HARD,20.0,2.0,99.234,True,37.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,1.0,3.0,116.445,False,38.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,2.0,3.0,92.608,False,39.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,3.0,3.0,96.589,False,40.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,4.0,3.0,95.29,False,41.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,5.0,3.0,94.667,False,42.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,6.0,3.0,94.151,False,43.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,7.0,3.0,94.531,False,44.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,8.0,3.0,94.249,False,45.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,9.0,3.0,94.193,False,46.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,10.0,3.0,94.239,False,47.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,11.0,3.0,94.35,False,48.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,12.0,3.0,94.403,False,49.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,13.0,3.0,94.783,False,50.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,14.0,3.0,94.34,False,51.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,15.0,3.0,94.906,False,52.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,16.0,3.0,95.6,False,53.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,17.0,3.0,95.334,False,54.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,18.0,3.0,95.184,False,55.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,19.0,3.0,94.671,False,56.0
2024,Bahrain Grand Prix,VER,Red Bull Racing,SOFT,20.0,3.0,94.923,False,57.0
2024,Bahrain Grand Prix,PER,Red Bull Racing,SOFT,4.0,1.0,100.053,False,1.0
2024,Bahrain Grand Prix,PER,Red Bull Racing,SOFT,5.0,1.0,96.541,False,2.0
2024,Bahrain Grand Prix,PER,Red Bull Racing,SOFT,6.0,1.0,97.297,False,3.0
